Country_code,Sector,d2014_2024,grid,d2014_2023
JPN,Architecture services,-39.82300567626953,grid2024B,
PRT,Architecture services,-47.257774353027344,grid2024B,
RUS,Engineering services,41.430503845214844,grid2024B,
DNK,Engineering services,35.483863830566406,grid2024B,
LTU,Engineering services,30.082992553710938,grid2024B,
JPN,Engineering services,-20.990097045898438,grid2024B,
BRA,Engineering services,-23.027814865112305,grid2024B,
IDN,Engineering services,-23.323884963989258,grid2024B,
CHN,Engineering services,-29.91187286376953,grid2024B,
RUS,Legal services,59.08833694458008,grid2024B,
AUT,Legal services,27.22151756286621,grid2024B,
CHL,Legal services,20.988807678222656,grid2024B,
AUS,Legal services,-8.46468448638916,grid2024B,
CHN,Legal services,-8.842288970947266,grid2024B,
PRT,Legal services,-65.1219482421875,grid2024B,
LUX,Legal services,-79.86690521240234,grid2024B,
DNK,Telecommunication,44.138221740722656,grid2024B,
LTU,Telecommunication,40.26008987426758,grid2024B,
POL,Telecommunication,39.66460418701172,grid2024B,
CZE,Telecommunication,-17.933917999267578,grid2024B,
MYS,Telecommunication,-20.396995544433594,grid2024B,
BRA,Telecommunication,-20.58576774597168,grid2024B,
MEX,Telecommunication,-27.362470626831055,grid2024B,
RUS,Air transport,12.598750114440918,grid2024B,
NZL,Air transport,7.3262152671813965,grid2024B,
POL,Air transport,7.130380630493164,grid2024B,
IND,Air transport,-20.27690887451172,grid2024B,
GBR,Air transport,-46.9273681640625,grid2024B,
PHL,Air transport,-50.1666145324707,grid2024B,
BRA,Air transport,-62.862457275390625,grid2024B,
RUS,Maritime transport,33.5042724609375,grid2024B,
POL,Maritime transport,30.721654891967773,grid2024B,
CHL,Maritime transport,20.26021957397461,grid2024B,
BRA,Maritime transport,-24.074066162109375,grid2024B,
GBR,Maritime transport,-25.769237518310547,grid2024B,
PHL,Maritime transport,-32.58269119262695,grid2024B,
CHN,Maritime transport,-39.02437973022461,grid2024B,
LTU,Rail freight transport,19.956607818603516,grid2024B,
NZL,Rail freight transport,18.15008544921875,grid2024B,
TUR,Rail freight transport,17.42957878112793,grid2024B,
IDN,Rail freight transport,-16.4383544921875,grid2024B,
BRA,Rail freight transport,-19.682153701782227,grid2024B,
PRT,Rail freight transport,-21.88842010498047,grid2024B,
CHN,Rail freight transport,-30.539499282836914,grid2024B,
RUS,Road freight transport,53.206512451171875,grid2024B,
ZAF,Road freight transport,36.22393035888672,grid2024B,
CZE,Road freight transport,24.34456443786621,grid2024B,
THA,Road freight transport,-15.72144603729248,grid2024B,
IDN,Road freight transport,-18.52146339416504,grid2024B,
CHN,Road freight transport,-24.724868774414062,grid2024B,
PHL,Road freight transport,-46.1334342956543,grid2024B,
RUS,Broadcasting,,grid2023B,118.41403198242188
CZE,Broadcasting,,grid2023B,32.23731231689453
NZL,Broadcasting,,grid2023B,26.506019592285156
IDN,Broadcasting,,grid2023B,-13.803133964538574
DNK,Broadcasting,,grid2023B,-16.270029067993164
THA,Broadcasting,,grid2023B,-17.449291229248047
RUS,Motion pictures,,grid2023B,46.165950775146484
FIN,Motion pictures,,grid2023B,45.896881103515625
CZE,Motion pictures,,grid2023B,37.387386322021484
AUS,Motion pictures,,grid2023B,-17.066667556762695
THA,Motion pictures,,grid2023B,-17.579326629638672
IDN,Motion pictures,,grid2023B,-50.68999099731445
RUS,Sound recording,,grid2023B,76.88656616210938
POL,Sound recording,,grid2023B,49.43397903442383
