Country_code,Sector,d2023_2024,low_2014_2024,upper_2014_2024,grid,d2024_2025,low_2014_2025,upper_2014_2025
"CHE","Broadcasting",5.23685,-2.775763,5.23685,"grid2024A",,,
"AUS","Broadcasting",4.952629,-8.623925,8.990602,"grid2024A",,,
"NLD","Broadcasting",4.274141,-4.9054,5.313653,"grid2024A",,,
"KAZ","Broadcasting",1.595387,-9.249952,7.454622,"grid2024A",,,
"COL","Broadcasting",0,-3.115683,2.58669,"grid2024A",,,
"GRC","Broadcasting",-2.2742,-2.2742,1.898524,"grid2024A",,,
"AUS","Motion pictures",9.163981,-14.3758,9.163981,"grid2024A",,,
"SGP","Motion pictures",7.434544,-19.27304,22.22222,"grid2024A",,,
"CHE","Motion pictures",6.434078,-5.501934,6.894791,"grid2024A",,,
"BRA","Motion pictures",4.471035,-8.142206,4.471035,"grid2024A",,,
"LTU","Motion pictures",0,-3.086052,10.54688,"grid2024A",,,
"GRC","Motion pictures",-6.199025,-6.199025,7.922526,"grid2024A",,,
"SGP","Sound recording",7.210029,-17.05668,20.56425,"grid2024A",,,
"AUS","Sound recording",6.492482,-10.86812,6.492482,"grid2024A",,,
"ZAF","Sound recording",0,0,16.28896,"grid2024A",,,
"FRA","Sound recording",0,-10.31593,5.65395,"grid2024A",,,
"TUR","Sound recording",0,-11.57256,9.444145,"grid2024A",,,
"GRC","Sound recording",-7.919846,-7.919846,8.264458,"grid2024A",,,
"AUS","Construction",9.87196,-15.23265,9.87196,"grid2024A",,,
"SGP","Construction",5.796528,-24.80084,32.98021,"grid2024A",,,
"NOR","Construction",0,-4.356725,5.910518,"grid2024A",,,
"CZE","Construction",0,0,12.74132,"grid2024A",,,
"GRC","Construction",-9.860246,-9.860246,5.093815,"grid2024A",,,
"PRT","Construction",-30.84434,-30.84434,4.826851,"grid2024A",,,
"SGP","Courier services",9.828814,-11.90562,9.828814,"grid2024A",,,
"AUS","Courier services",1.041557,-3.998368,1.041557,"grid2024A",,,
"TUR","Courier services",.8235623,-2.442788,4.927763,"grid2024A",,,
"GRC","Courier services",-5.175504,-5.175504,5.877564,"grid2024A",,,
"DNK","Courier services",-6.245742,-6.352942,3.460483,"grid2024A",,,
"IND","Courier services",-50.12784,-50.12784,4.246989,"grid2024A",,,
"AUS","Computer services",10.84184,-16.36189,10.84184,"grid2024A",,,
"SGP","Computer services",8.052906,-18.4751,33.40487,"grid2024A",,,
"IRL","Computer services",0,0,10.1066,"grid2024A",,,
"CHE","Computer services",0,-6.380023,6.455299,"grid2024A",,,
"SWE","Computer services",0,0,7.570064,"grid2024A",,,
"GRC","Computer services",-11.39567,-11.39567,5.97808,"grid2024A",,,
"SGP","Distribution services",7.074567,-14.93214,17.55321,"grid2024A",,,
"AUS","Distribution services",6.316035,-10.61983,6.316035,"grid2024A",,,
"TUR","Distribution services",4.651563,-10.57895,12.81661,"grid2024A",,,
"IDN","Distribution services",0,-45.32995,4.65551,"grid2024A",,,
"NOR","Distribution services",0,-4.267034,5.829148,"grid2024A",,,
"GRC","Distribution services",-4.705886,-4.705886,5.1707,"grid2024A",,,
"RUS","Commercial banking",7.01754,0,24.69879,"grid2024A",,,
"SGP","Commercial banking",6.111102,-8.163261,8.888885,"grid2024A",,,
"AUS","Commercial banking",3.238863,-7.942235,5.054152,"grid2024A",,,
"LUX","Commercial banking",0,0,8.433735,"grid2024A",,,
"LTU","Commercial banking",0,-10.73171,19.67214,"grid2024A",,,
"GRC","Commercial banking",-5.863194,-10.28571,2.571426,"grid2024A",,,
"SGP","Insurance",5.186247,-10.28277,6.414992,"grid2024A",,,
"AUS","Insurance",2.989533,-5.486971,2.989533,"grid2024A",,,
"IRL","Insurance",0,0,5.235596,"grid2024A",,,
"DNK","Insurance",0,-2.468314,3.358529,"grid2024A",,,
"GRC","Insurance",-2.152261,-3.08967,1.020803,"grid2024A",,,
"BEL","Insurance",-2.383073,-5.420693,8.769381,"grid2024A",,,
"SGP","Logistics cargo-handling",7.658644,-9.861934,10.94092,"grid2024A",,,
"AUS","Logistics cargo-handling",3.96197,-9.641873,3.96197,"grid2024A",,,
"TUR","Logistics cargo-handling",2.25225,-9.387757,7.112257,"grid2024A",,,
"POL","Logistics cargo-handling",0,0,15.25424,"grid2024A",,,
"THA","Logistics cargo-handling",0,-7.950028,0,"grid2024A",,,
"GRC","Logistics cargo-handling",-10.9489,-10.9489,6.064513,"grid2024A",,,
"SGP","Logistics customs brokerage",8.524592,-17.34417,20.9836,"grid2024A",,,
"AUS","Logistics customs brokerage",7.01755,-11.5942,7.01755,"grid2024A",,,
"TUR","Logistics customs brokerage",4.673811,-7.9536,9.546306,"grid2024A",,,
"GBR","Logistics customs brokerage",0,-6.896554,3.571433,"grid2024A",,,
"DNK","Logistics customs brokerage",0,-7.258066,8.391616,"grid2024A",,,
"GRC","Logistics customs brokerage",-4.186059,-4.186059,3.990336,"grid2024A",,,
"AUS","Logistics freight forwarding",7.586208,-12.35955,7.586208,"grid2024A",,,
"SGP","Logistics freight forwarding",5.687199,-17.2549,20.85308,"grid2024A",,,
"TUR","Logistics freight forwarding",5.263153,-12.91667,6.926411,"grid2024A",,,
"CHL","Logistics freight forwarding",0,-7.189544,0,"grid2024A",,,
"LUX","Logistics freight forwarding",0,0,2.521016,"grid2024A",,,
"GRC","Logistics freight forwarding",-12.42236,-12.42236,6.329108,"grid2024A",,,
"AUS","Logistics storage and warehouse",7.750757,-12.57707,7.750757,"grid2024A",,,
"SGP","Logistics storage and warehouse",5.664157,-15.48251,18.31871,"grid2024A",,,
"TUR","Logistics storage and warehouse",3.892895,-8.70054,7.447991,"grid2024A",,,
"RUS","Logistics storage and warehouse",0,0,0,"grid2024A",,,
"HUN","Logistics storage and warehouse",0,0,13.02215,"grid2024A",,,
"GRC","Logistics storage and warehouse",-8.376961,-8.376961,7.662119,"grid2024A",,,
"AUS","Accounting services",5.861133,-9.969328,5.861133,"grid2024A",,,
"SGP","Accounting services",5.683687,-17.63908,21.4168,"grid2024A",,,
"CAN","Accounting services",0,0,0,"grid2024A",,,
"CHE","Accounting services",0,-3.383663,4.040948,"grid2024A",,,
"GRC","Accounting services",-4.878047,-4.878047,3.091508,"grid2024A",,,
"PRT","Accounting services",-22.37374,-22.37374,3.807106,"grid2024A",,,
"AUS","Architecture services",12.35955,-18.03279,12.35955,"grid2024A",,,
"SGP","Architecture services",5.474455,-34.86529,53.52798,"grid2024A",,,
"TUR","Architecture services",0,-15.17932,9.174314,"grid2024A",,,
"CAN","Architecture services",0,0,0,"grid2024A",,,
"SVK","Architecture services",0,0,3.633119,"grid2024A",,,
"GRC","Architecture services",-7.258071,-7.258071,6.552095,"grid2024A",,,
"AUS","Engineering services",12.31311,-17.9833,12.31311,"grid2024A",,,
"SGP","Engineering services",4.768328,-20.12217,25.19118,"grid2024A",,,
"TUR","Engineering services",0,-18.2003,9.826904,"grid2024A",,,
"GBR","Engineering services",0,-19.55156,10.83498,"grid2024A",,,
"AUT","Engineering services",0,0,0,"grid2024A",,,
"GRC","Engineering services",-11.43157,-11.43157,5.624348,"grid2024A",,,
"AUS","Legal services",4.742822,-8.464684,4.742822,"grid2024A",,,
"SGP","Legal services",4.468405,-11.82065,8.751922,"grid2024A",,,
"LTU","Legal services",0,0,1.729705,"grid2024A",,,
"RUS","Legal services",0,0,28.36363,"grid2024A",,,
"GRC","Legal services",-3.093421,-3.093421,1.546711,"grid2024A",,,
"PRT","Legal services",-62.40799,-62.40799,0,"grid2024A",,,
"SGP","Telecommunication",7.841438,-10.90541,12.24027,"grid2024A",,,
"AUS","Telecommunication",5.086923,-8.826815,5.086923,"grid2024A",,,
"ISL","Telecommunication",0,0,6.963962,"grid2024A",,,
"KAZ","Telecommunication",0,-6.219773,3.779564,"grid2024A",,,
"POL","Telecommunication",0,0,9.529053,"grid2024A",,,
