cou,Sector_name,stri_score,all_average,Grid
"SVN","Insurance",.1335501,.2118651,"STRI2025"
"SVN","Courier services",.176253,.2617029,"STRI2025"
"SVN","Broadcasting",.2109181,.3007928,"STRI2025"
"SVN","Rail freight transport",.2244437,.3154092,"STRI2025"
"SVN","..............",,,"STRI2025"
"SVN","Architecture services",.3014193,.2481198,"STRI2025"
"SVN","Maritime transport",.3380098,.270388,"STRI2025"
"SVN","Legal services",.476427,.3456834,"STRI2025"
"SVN","Engineering services",.3498648,.2207138,"STRI2025"
"SVN","..",,,"STRI2025"
"SWE",".",,,"STRI2025"
"SWE","Legal services",.1266285,.3456834,"STRI2025"
"SWE","Broadcasting",.1938906,.3007928,"STRI2025"
"SWE","Architecture services",.160847,.2481198,"STRI2025"
"SWE","Rail freight transport",.2286359,.3154092,"STRI2025"
"SWE","..............",,,"STRI2025"
"SWE","Computer services",.2036991,.2045424,"STRI2025"
"SWE","Air transport",.40165,.4032187,"STRI2025"
"SWE","Insurance",.2164928,.2118651,"STRI2025"
"SWE","Maritime transport",.303752,.270388,"STRI2025"
"SWE","..",,,"STRI2025"
"THA",".",,,"STRI2025"
"THA","Broadcasting",.3810217,.3007928,"STRI2025"
"THA","Air transport",.5873411,.4032187,"STRI2025"
"THA","Motion pictures",.2873788,.1964898,"STRI2025"
"THA","Sound recording",.2900319,.1948988,"STRI2025"
"THA","..............",,,"STRI2025"
"THA","Commercial banking",.4680412,.2297779,"STRI2025"
"THA","Insurance",.5475831,.2118651,"STRI2025"
"THA","Accounting services",1,.3227485,"STRI2025"
"THA","Rail freight transport",1,.3154092,"STRI2025"
"THA","..",,,"STRI2025"
"TUR",".",,,"STRI2025"
"TUR","Rail freight transport",.2534666,.3154092,"STRI2025"
"TUR","Insurance",.2046726,.2118651,"STRI2025"
"TUR","Engineering services",.2210325,.2207138,"STRI2025"
"TUR","Telecommunication",.2526841,.2376529,"STRI2025"
"TUR","..............",,,"STRI2025"
"TUR","Legal services",.5608773,.3456834,"STRI2025"
"TUR","Broadcasting",.500984,.3007928,"STRI2025"
"TUR","Courier services",.4688153,.2617029,"STRI2025"
"TUR","Accounting services",.6389646,.3227485,"STRI2025"
"TUR","..",,,"STRI2025"
"USA",".",,,"STRI2025"
"USA","Broadcasting",.1505091,.3007928,"STRI2025"
"USA","Rail freight transport",.1767172,.3154092,"STRI2025"
"USA","Legal services",.2021745,.3456834,"STRI2025"
"USA","Accounting services",.1911898,.3227485,"STRI2025"
"USA","..............",,,"STRI2025"
"USA","Air transport",.538637,.4032187,"STRI2025"
"USA","Insurance",.2937648,.2118651,"STRI2025"
"USA","Maritime transport",.3866231,.270388,"STRI2025"
"USA","Courier services",.3833688,.2617029,"STRI2025"
"USA","..",,,"STRI2025"
"VNM",".",,,"STRI2025"
"VNM","Accounting services",.271874,.3227485,"STRI2025"
"VNM","Architecture services",.2167155,.2481198,"STRI2025"
"VNM","Engineering services",.2306132,.2207138,"STRI2025"
"VNM","Broadcasting",.3541542,.3007928,"STRI2025"
"VNM","..............",,,"STRI2025"
"VNM","Commercial banking",.4,.2297779,"STRI2025"
"VNM","Cargo-handling",.4621232,.2393005,"STRI2025"
"VNM","Insurance",.4657241,.2118651,"STRI2025"
"VNM","Telecommunication",.7110462,.2376529,"STRI2025"
"VNM","..",,,"STRI2025"
"ZAF",".",,,"STRI2025"
"ZAF","Insurance",.1477897,.2118651,"STRI2025"
"ZAF","Road freight transport",.1606265,.2201109,"STRI2025"
"ZAF","Computer services",.1570625,.2045424,"STRI2025"
"ZAF","Accounting services",.2523463,.3227485,"STRI2025"
"ZAF","..............",,,"STRI2025"
"ZAF","Commercial banking",.2584192,.2297779,"STRI2025"
"ZAF","Freight-forwarding",.2545455,.2084848,"STRI2025"
"ZAF","Broadcasting",.3947121,.3007928,"STRI2025"
"ZAF","Courier services",.4283568,.2617029,"STRI2025"
"ZAF","..",,,"STRI2025"
