cou,Sector_name,stri_score,all_average,Grid,country_code,Restriction_on_foreign_entry,Restrictions_movement_people,Other_discriminatory_measures,Barriers_to_competition,Regulatory_transparency,grid,filter
"GRC","Cargo-handling",.1854573,.2335852,"STRI2024","",,,,,,"",""
"GRC","..............",,,"STRI2024","",,,,,,"",""
"GRC","Insurance",.2451989,.208546,"STRI2024","",,,,,,"",""
"GRC","Maritime transport",.3200653,.2597716,"STRI2024","",,,,,,"",""
"GRC","Distribution services",.2446762,.1939113,"STRI2024","",,,,,,"",""
"GRC","Legal services",.4404349,.3431566,"STRI2024","",,,,,,"",""
"GRC","..",,,"STRI2024","",,,,,,"",""
"HUN",".",,,"STRI2024","",,,,,,"",""
"HUN","Broadcasting",.1952597,.3040617,"STRI2024","",,,,,,"",""
"HUN","Rail freight transport",.2041277,.314982,"STRI2024","",,,,,,"",""
"HUN","Accounting services",.2222222,.3222739,"STRI2024","",,,,,,"",""
"HUN","Courier services",.1777916,.2521062,"STRI2024","",,,,,,"",""
"HUN","..............",,,"STRI2024","",,,,,,"",""
"HUN","Construction",.2347136,.2202079,"STRI2024","",,,,,,"",""
"HUN","Sound recording",.2057369,.1926607,"STRI2024","",,,,,,"",""
"HUN","Computer services",.2252856,.1985865,"STRI2024","",,,,,,"",""
"HUN","Legal services",.7067204,.3431566,"STRI2024","",,,,,,"",""
"HUN","..",,,"STRI2024","",,,,,,"",""
"IDN",".",,,"STRI2024","",,,,,,"",""
"IDN","Architecture services",.1892318,.2411866,"STRI2024","",,,,,,"",""
"IDN","Rail freight transport",.255724,.314982,"STRI2024","",,,,,,"",""
"IDN","Engineering services",.1830478,.2150542,"STRI2024","",,,,,,"",""
"IDN","Customs brokerage",.2160057,.2221667,"STRI2024","",,,,,,"",""
"IDN","..............",,,"STRI2024","",,,,,,"",""
"IDN","Commercial banking",.5017182,.2253487,"STRI2024","",,,,,,"",""
"IDN","Telecommunication",.5715356,.2323081,"STRI2024","",,,,,,"",""
"IDN","Legal services",.8653108,.3431566,"STRI2024","",,,,,,"",""
"IDN","Insurance",.5297646,.208546,"STRI2024","",,,,,,"",""
"IDN","..",,,"STRI2024","",,,,,,"",""
"IND",".",,,"STRI2024","",,,,,,"",""
"IND","Engineering services",.1553201,.2150542,"STRI2024","",,,,,,"",""
"IND","Computer services",.1535598,.1985865,"STRI2024","",,,,,,"",""
"IND","Road freight transport",.1853482,.2135189,"STRI2024","",,,,,,"",""
"IND","Construction",.204151,.2202079,"STRI2024","",,,,,,"",""
"IND","..............",,,"STRI2024","",,,,,,"",""
"IND","Insurance",.4810475,.208546,"STRI2024","",,,,,,"",""
"IND","Accounting services",.7620345,.3222739,"STRI2024","",,,,,,"",""
"IND","Legal services",.8653108,.3431566,"STRI2024","",,,,,,"",""
"IND","Rail freight transport",1,.314982,"STRI2024","",,,,,,"",""
"IND","..",,,"STRI2024","",,,,,,"",""
"IRL",".",,,"STRI2024","",,,,,,"",""
"IRL","Insurance",.1013156,.208546,"STRI2024","",,,,,,"",""
"IRL","Telecommunication",.1184741,.2323081,"STRI2024","",,,,,,"",""
"IRL","Rail freight transport",.1699452,.314982,"STRI2024","",,,,,,"",""
"IRL","Legal services",.1923329,.3431566,"STRI2024","",,,,,,"",""
"IRL","..............",,,"STRI2024","",,,,,,"",""
"IRL","Road freight transport",.1843127,.2135189,"STRI2024","",,,,,,"",""
"IRL","Freight-forwarding",.1781818,.2036601,"STRI2024","",,,,,,"",""
"IRL","Computer services",.1858332,.1985865,"STRI2024","",,,,,,"",""
"IRL","Air transport",.3825503,.3991205,"STRI2024","",,,,,,"",""
"IRL","..",,,"STRI2024","",,,,,,"",""
"ISL",".",,,"STRI2024","",,,,,,"",""
"ISL","Accounting services",.3284892,.3222739,"STRI2024","",,,,,,"",""
"ISL","Legal services",.3545787,.3431566,"STRI2024","",,,,,,"",""
"ISL","Courier services",.2931876,.2521062,"STRI2024","",,,,,,"",""
"ISL","Air transport",.4839112,.3991205,"STRI2024","",,,,,,"",""
"ISL","..............",,,"STRI2024","",,,,,,"",""
"ISL","Motion pictures",.3262509,.1957463,"STRI2024","",,,,,,"",""
"ISL","Sound recording",.3504781,.1926607,"STRI2024","",,,,,,"",""
"ISL","Computer services",.3953821,.1985865,"STRI2024","",,,,,,"",""
"ISL","Construction",.4400447,.2202079,"STRI2024","",,,,,,"",""
"ISL","..",,,"STRI2024","",,,,,,"",""
"ISR",".",,,"STRI2024","",,,,,,"",""
"ISR","Distribution services",.1550059,.1939113,"STRI2024","",,,,,,"",""
"ISR","Storage and warehouse",.1937201,.2270441,"STRI2024","",,,,,,"",""
"ISR","Legal services",.3000281,.3431566,"STRI2024","",,,,,,"",""
"ISR","Commercial banking",.2123711,.2253487,"STRI2024","",,,,,,"",""
"ISR","..............",,,"STRI2024","",,,,,,"",""
"ISR","Sound recording",.2644247,.1926607,"STRI2024","",,,,,,"",""
"ISR","Telecommunication",.3226621,.2323081,"STRI2024","",,,,,,"",""
"ISR","Courier services",.4058558,.2521062,"STRI2024","",,,,,,"",""
"ISR","Rail freight transport",1,.314982,"STRI2024","",,,,,,"",""
"ISR","..",,,"STRI2024","",,,,,,"",""
"ITA",".",,,"STRI2024","",,,,,,"",""
"ITA","Legal services",.1988003,.3431566,"STRI2024","",,,,,,"",""
"ITA","Rail freight transport",.1892938,.314982,"STRI2024","",,,,,,"",""
"ITA","Courier services",.1792811,.2521062,"STRI2024","",,,,,,"",""
"ITA","Telecommunication",.1681043,.2323081,"STRI2024","",,,,,,"",""
"ITA","..............",,,"STRI2024","",,,,,,"",""
"ITA","Architecture services",.3392656,.2411866,"STRI2024","",,,,,,"",""
"ITA","Sound recording",.2756347,.1926607,"STRI2024","",,,,,,"",""
"ITA","Accounting services",.5039358,.3222739,"STRI2024","",,,,,,"",""
"ITA","Engineering services",.386046,.2150542,"STRI2024","",,,,,,"",""
"ITA","..",,,"STRI2024","",,,,,,"",""
"JPN",".",,,"STRI2024","",,,,,,"",""
"JPN","Engineering services",.0449729,.2150542,"STRI2024","",,,,,,"",""
"JPN","Sound recording",.0484669,.1926607,"STRI2024","",,,,,,"",""
"JPN","Motion pictures",.0633506,.1957463,"STRI2024","",,,,,,"",""
"JPN","Computer services",.0713854,.1985865,"STRI2024","",,,,,,"",""
"JPN","..............",,,"STRI2024","",,,,,,"",""
"JPN","Broadcasting",.3064944,.3040617,"STRI2024","",,,,,,"",""
"JPN","Air transport",.4509642,.3991205,"STRI2024","",,,,,,"",""
"JPN","Freight-forwarding",.2593939,.2036601,"STRI2024","",,,,,,"",""
"JPN","Legal services",.5177618,.3431566,"STRI2024","",,,,,,"",""
"JPN","..",,,"STRI2024","",,,,,,"",""
"KAZ",".",,,"STRI2024","",,,,,,"",""
"KAZ","Legal services",.1638392,.3431566,"STRI2024","",,,,,,"",""
"KAZ","Accounting services",.2617317,.3222739,"STRI2024","",,,,,,"",""
"KAZ","Architecture services",.2131111,.2411866,"STRI2024","",,,,,,"",""
"KAZ","Road freight transport",.2208128,.2135189,"STRI2024","",,,,,,"",""
"KAZ","..............",,,"STRI2024","",,,,,,"",""
"KAZ","Commercial banking",.3250859,.2253487,"STRI2024","",,,,,,"",""
"KAZ","Distribution services",.3348238,.1939113,"STRI2024","",,,,,,"",""
"KAZ","Telecommunication",.5985175,.2323081,"STRI2024","",,,,,,"",""
"KAZ","Rail freight transport",1,.314982,"STRI2024","",,,,,,"",""
"KAZ","..",,,"STRI2024","",,,,,,"",""
"KOR",".",,,"STRI2024","",,,,,,"",""
"KOR","Insurance",.1162105,.208546,"STRI2024","",,,,,,"",""
"KOR","Storage and warehouse",.1403413,.2270441,"STRI2024","",,,,,,"",""
"KOR","Engineering services",.1628719,.2150542,"STRI2024","",,,,,,"",""
"KOR","Cargo-handling",.1834304,.2335852,"STRI2024","",,,,,,"",""
"KOR","..............",,,"STRI2024","",,,,,,"",""
"KOR","Legal services",.5246977,.3431566,"STRI2024","",,,,,,"",""
"KOR","Courier services",.4160337,.2521062,"STRI2024","",,,,,,"",""
"KOR","Accounting services",1,.3222739,"STRI2024","",,,,,,"",""
"KOR","Rail freight transport",1,.314982,"STRI2024","",,,,,,"",""
"KOR","..",,,"STRI2024","",,,,,,"",""
"LTU",".",,,"STRI2024","",,,,,,"",""
"LTU","Accounting services",.1557675,.3222739,"STRI2024","",,,,,,"",""
"LTU","Broadcasting",.1501669,.3040617,"STRI2024","",,,,,,"",""
"LTU","Courier services",.1261335,.2521062,"STRI2024","",,,,,,"",""
"LTU","Rail freight transport",.1783296,.314982,"STRI2024","",,,,,,"",""
"LTU","..............",,,"STRI2024","",,,,,,"",""
"LTU","Computer services",.1728588,.1985865,"STRI2024","",,,,,,"",""
"LTU","Road freight transport",.1935025,.2135189,"STRI2024","",,,,,,"",""
"LTU","Air transport",.3931613,.3991205,"STRI2024","",,,,,,"",""
"LTU","Legal services",.4134409,.3431566,"STRI2024","",,,,,,"",""
"LTU","..",,,"STRI2024","",,,,,,"",""
"LUX",".",,,"STRI2024","",,,,,,"",""
"LUX","Rail freight transport",.1428571,.314982,"STRI2024","",,,,,,"",""
"LUX","Cargo-handling",.1091969,.2335852,"STRI2024","",,,,,,"",""
"LUX","Broadcasting",.1566698,.3040617,"STRI2024","",,,,,,"",""
"LUX","Courier services",.1325335,.2521062,"STRI2024","",,,,,,"",""
"LUX","..............",,,"STRI2024","",,,,,,"",""
"LUX","Distribution services",.1772307,.1939113,"STRI2024","",,,,,,"",""
"LUX","Engineering services",.2009693,.2150542,"STRI2024","",,,,,,"",""
"LUX","Architecture services",.2331606,.2411866,"STRI2024","",,,,,,"",""
"LUX","Air transport",.4201395,.3991205,"STRI2024","",,,,,,"",""
"LUX","..",,,"STRI2024","",,,,,,"",""
"LVA",".",,,"STRI2024","",,,,,,"",""
"LVA","Legal services",.1152873,.3431566,"STRI2024","",,,,,,"",""
"LVA","Accounting services",.1372994,.3222739,"STRI2024","",,,,,,"",""
"LVA","Cargo-handling",.1175576,.2335852,"STRI2024","",,,,,,"",""
"LVA","Storage and warehouse",.1242833,.2270441,"STRI2024","",,,,,,"",""
"LVA","..............",,,"STRI2024","",,,,,,"",""
"LVA","Insurance",.1427743,.208546,"STRI2024","",,,,,,"",""
"LVA","Computer services",.1436491,.1985865,"STRI2024","",,,,,,"",""
"LVA","Road freight transport",.1650272,.2135189,"STRI2024","",,,,,,"",""
"LVA","Air transport",.4027111,.3991205,"STRI2024","",,,,,,"",""
"LVA","..",,,"STRI2024","",,,,,,"",""
"MEX",".",,,"STRI2024","",,,,,,"",""
"MEX","Legal services",.1932702,.3431566,"STRI2024","",,,,,,"",""
"MEX","Accounting services",.2403875,.3222739,"STRI2024","",,,,,,"",""
"MEX","Telecommunication",.2078736,.2323081,"STRI2024","",,,,,,"",""
"MEX","Rail freight transport",.2918413,.314982,"STRI2024","",,,,,,"",""
"MEX","..............",,,"STRI2024","",,,,,,"",""
"MEX","Courier services",.4341168,.2521062,"STRI2024","",,,,,,"",""
"MEX","Broadcasting",.6232566,.3040617,"STRI2024","",,,,,,"",""
"MEX","Road freight transport",.4776081,.2135189,"STRI2024","",,,,,,"",""
"MEX","Customs brokerage",.9999999,.2221667,"STRI2024","",,,,,,"",""
"MEX","..",,,"STRI2024","",,,,,,"",""
"MYS",".",,,"STRI2024","",,,,,,"",""
"MYS","Commercial banking",.2006873,.2253487,"STRI2024","",,,,,,"",""
"MYS","Storage and warehouse",.2161263,.2270441,"STRI2024","",,,,,,"",""
"MYS","Sound recording",.1880426,.1926607,"STRI2024","",,,,,,"",""
"MYS","Accounting services",.3147139,.3222739,"STRI2024","",,,,,,"",""
"MYS","..............",,,"STRI2024","",,,,,,"",""
"MYS","Engineering services",.2785167,.2150542,"STRI2024","",,,,,,"",""
"MYS","Road freight transport",.2837173,.2135189,"STRI2024","",,,,,,"",""
"MYS","Distribution services",.3432316,.1939113,"STRI2024","",,,,,,"",""
"MYS","Legal services",.6395164,.3431566,"STRI2024","",,,,,,"",""
"MYS","..",,,"STRI2024","",,,,,,"",""
"NLD",".",,,"STRI2024","",,,,,,"",""
"NLD","Rail freight transport",.0935182,.314982,"STRI2024","",,,,,,"",""
"NLD","Courier services",.0794841,.2521062,"STRI2024","",,,,,,"",""
"NLD","Insurance",.0703664,.208546,"STRI2024","",,,,,,"",""
"NLD","Broadcasting",.1210747,.3040617,"STRI2024","",,,,,,"",""
"NLD","..............",,,"STRI2024","",,,,,,"",""
"NLD","Distribution services",.1284587,.1939113,"STRI2024","",,,,,,"",""
"NLD","Road freight transport",.1606265,.2135189,"STRI2024","",,,,,,"",""
"NLD","Telecommunication",.1773304,.2323081,"STRI2024","",,,,,,"",""
"NLD","Air transport",.3751227,.3991205,"STRI2024","",,,,,,"",""
"NLD","..",,,"STRI2024","",,,,,,"",""
"NOR",".",,,"STRI2024","",,,,,,"",""
"NOR","Legal services",.2197957,.3431566,"STRI2024","",,,,,,"",""
"NOR","Rail freight transport",.2302483,.314982,"STRI2024","",,,,,,"",""
"NOR","Architecture services",.1770669,.2411866,"STRI2024","",,,,,,"",""
"NOR","Customs brokerage",.1673749,.2221667,"STRI2024","",,,,,,"",""
"NOR","..............",,,"STRI2024","",,,,,,"",""
"NOR","Cargo-handling",.2761591,.2335852,"STRI2024","",,,,,,"",""
"NOR","Road freight transport",.2724566,.2135189,"STRI2024","",,,,,,"",""
"NOR","Air transport",.5231716,.3991205,"STRI2024","",,,,,,"",""
